"Site","Name","Level","data_rescale_case","tslength","ndatapoints","longestrun","propmissing","nruns10","effectivenE2","Country","Type","Redistributable","Lat","Lon","Mass_g","MinAge_mo","SamplingInterval","mo_timestep","monotonic"
"North Sea","Cirripede.larvae..Total.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,0.0317335110858235
"North Sea","Appendicularia","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,0.20617876980784
"North Sea","Bivalvia.larvae","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,-0.205893756122916
"North Sea","Thecosomata..North.Atlantic.","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,-0.0667908332680884
"North Sea","Fish.larvae","SP",3,672,672,672,0,1,670,"","Marine","no",56.3,3.4,NA,NA,"monthly",1,0.00320153888500404
"Port Erin Bay","Chaetoceras.decipiens","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,2.63e-08,0.03097,"monthly",1,0.219879432884805
"Port Erin Bay","Chaetoceras.debile","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,NA,NA,"monthly",1,0.158622773438222
"Port Erin Bay","Chaetoceras.teres","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,NA,NA,"monthly",1,-0.00081085759768214
"Port Erin Bay","Rhizosolenia.semispina","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,NA,NA,"monthly",1,-0.181448455437864
"Port Erin Bay","Rhizosolenia.shrubsolei","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,9.51e-10,0.0278,"monthly",1,0.0507323739809949
"Port Erin Bay","Rhizosolenia.stolterfothii","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,NA,NA,"monthly",1,0.0293528225136342
"Port Erin Bay","Coscinodiscus.concinnus","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,1.97e-05,0.04417,"monthly",1,0.243987044563542
"Port Erin Bay","Coscinodiscus.radiatus","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,1.8e-07,0.0375,"monthly",1,0.348570115499704
"Port Erin Bay","Coscinodiscus.grani","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,1.84e-06,0.0389,"monthly",1,0.265826708118532
"Port Erin Bay","Biddulphia.mobiliensis","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,5.24e-07,0.034,"monthly",1,0.138812311528103
"Port Erin Bay","Biddulphia.sinensis","SP",2,134,134,134,0,1,132,"Isle of Man","Marine","yes",54.088,-4.768,1.07e-06,0.04806,"monthly",1,-0.208283786364191
"Port Erin Bay","Guinardia.flaccida","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,6.82e-08,0.034861111,"monthly",1,0.395664806769091
"Port Erin Bay","Lauderia.borealis","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,2.25e-08,0.013472222,"monthly",1,0.110950552101313
"Port Erin Bay","Ceratium.tripos","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,5e-07,0.14,"monthly",1,0.509662705029369
"Port Erin Bay","Noctiluca.miliaris","SP",2,156,156,156,0,1,154,"Isle of Man","Marine","yes",54.088,-4.768,6.5e-05,0.167,"monthly",1,0.0284968591911354
"Port Erin Bay","Paracalanus.parvus","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,9.36e-05,0.62,"monthly",1,0.13472622436844
"Port Erin Bay","Pseudocalanus.elongatus","SP",1,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,0.00017,0.753,"monthly",1,0.275002900521253
"Port Erin Bay","Oithona.similis","SP",1,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,2.4e-05,1.05,"monthly",1,0.225312242722131
"Port Erin Bay","Acartia.clausi","SP",1,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,2.4e-05,0.6333,"monthly",1,0.16211927391643
"Port Erin Bay","Calanus.finmarchicus","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,NA,NA,"monthly",1,-0.136584347934263
"Port Erin Bay","Centropages.hamatus","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,7.7e-05,0.6,"monthly",1,0.0312731299505849
"Port Erin Bay","Temora.longicornis","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,0.00012,0.687,"monthly",1,0.0909120582076016
"Port Erin Bay","Echinoderm.plutei","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,NA,NA,"monthly",1,0.181220238894192
"Port Erin Bay","Polychaete.larvae","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,NA,NA,"monthly",1,0.321438164402907
"Port Erin Bay","Lamellibranch.larvae","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,NA,NA,"monthly",1,0.31795087739987
"Port Erin Bay","Gastropod.larvae","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,NA,NA,"monthly",1,0.259082565776208
"Port Erin Bay","Sagitta.bipunctata","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,0.012,1,"monthly",1,-0.0945504226539573
"Port Erin Bay","Medusoid.gonophores","SP",2,168,168,168,0,1,166,"Isle of Man","Marine","yes",54.088,-4.768,NA,NA,"monthly",1,0.132236662171658
"Wadden Sea","Acartia_sp","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,3.5e-05,NA,"monthly",1,-0.060856931623775
"Wadden Sea","Balanidae_nau","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,NA,NA,"monthly",1,-0.0325948288577967
"Wadden Sea","Bivalvia_larv","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,NA,NA,"monthly",1,-0.372550284192395
"Wadden Sea","C_hamatus","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,7.7e-05,0.6,"monthly",1,-0.209574772522708
"Wadden Sea","Gastrop_larv","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,NA,NA,"monthly",1,-0.140160130262916
"Wadden Sea","Harpacticoida","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,6.255e-05,NA,"monthly",1,-0.31155154033884
"Wadden Sea","Membranipora_larv","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,NA,NA,"monthly",1,-0.21374727290533
"Wadden Sea","N_scintillans","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,6.5e-05,0.167,"monthly",1,-0.10098877097658
"Wadden Sea","O_dioica","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,2e-04,NA,"monthly",1,-0.138351878325448
"Wadden Sea","Oithona_sp","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,2.4e-05,1.05,"monthly",1,-0.278203303139787
"Wadden Sea","P_elongatus","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,0.00017,0.753,"monthly",1,-0.161473820180905
"Wadden Sea","P_parvus","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,NA,NA,"monthly",1,-0.125831348851038
"Wadden Sea","Paracalanus_sp","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,9.36e-05,0.62,"monthly",1,-0.498494831218149
"Wadden Sea","R_oktopunctata","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,0.01675,NA,"monthly",1,-0.140880075446863
"Wadden Sea","Rotatoria","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,NA,NA,"monthly",1,-0.229528864771288
"Wadden Sea","Spionida_nektoch","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,NA,NA,"monthly",1,-0.298072763562258
"Wadden Sea","T_longicornis","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,NA,NA,"monthly",1,-0.23036793897419
"Wadden Sea","Turbellaria","SP",3,116,114,98,0.0172413793103448,2,108,"","Marine","yes",55.03,8.46,NA,NA,"monthly",1,-0.295105301998929
